idstudy;authors;last1;first1;last2;first2;last3;first3;last4;first4;nb_authors;authors_duplicate_stud;title;year;month;ref_journal;journal;field_pub;account_journal;finance_journal;law_journal;business_journal;cross_discipl;scopus_journal_2018;cite_score_year_2018;cite_score_year_2011_18;repec_journals_if_may2020;nb_citations_google_scholar;nb_pages;only1_country;country;region;america;eu;asia;only_usa;china;emg;rule_of_law;common_law;gni_capita_usd;log_gni_capita;log_gdp_capita;fraser_regul;fraser_regul_cred;credit%gdp;mkt_cap_gdp;nb_listed_firms;log_nb_listed_firms;pop;log_list_firm_pop;mkt_liquidity;val_traded_stks;traded_stks_gdp;nom_gdp;log_nom_gdp;trust_wvs;conf_gov_wvs;justice_wvs;begining_period;end_period;avg_year_data;nb_years_data;event;specific_event;accounting_fraud;operational_fraud;reg_secur_fraud;only_account;only_reg_secur_laws;reg_secur_laws_incl_account;source_press;source_firm;source_reg;alleged_fraud;investigation;regulatory_proc;stock_mkt_proc;class_action;lawsuits;settlements;accounting_restatement;verdict_sanction;estimation_window_y;estimation_window;start_estim_w;end_estim_w;event_window;start_event_w;end_event_w;length_event_w;data_type;methodology;model;mkt_model;source_crsp;market_index;mkt_index_val_weight;main_sector;main_sect_indus;main_sect_financ;initial_sample_size;sample_size;confound_event_y;initial_sample_size_y;nb_ests_perstudy;caar;event_w_begin;event_w_end;exotic_ew;before_event0;event0;after_event0;coef_impact;coef_impact_day;signif;level_signif;star_y;t_stat_y;z_stat_y;p_val_y;other_stat_y;t_stat;t_stat_wcs;p_val;z_stat;standard_error;standard_error_wcs;standard_error_wcs_day;standard_dev;lt_caar;cross_sectional_reg;reputational_estimate;before_event;before_incl_event;EC;after_incl_event;around_event;around_ev_+-;after_event;nb_ests_perstudy_usa;nb_ests_perstudy_nonusa;nb_ests_perstudy_account;nb_ests_perstudy_nonaccount;only_star
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);First disclosure in the media of firms targeted by SEC enforcement action;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;58;0;1;11;"CAAR[-1;0]";-1;0;0;1;1;0;-0.129;-0.0645;1;0.001;1;0;0;0;0;0;-3.291;0;0;0;0.039197812;0.019598906;0;0;1;0;0;1;0;0;0;1;0;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);First disclosure in the media of firms targeted by SEC enforcement action;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;58;0;1;11;AAR[0];0;0;0;0;1;0;-0.1;-0.1;1;0.001;1;0;0;0;0;-3.97;-3.97;0;0;0;0.025188917;0.025188917;0;0;1;0;0;0;1;0;0;0;0;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);First disclosure in the media of firms targeted by SEC enforcement action;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;58;0;1;11;AAR[-1];-1;-1;0;1;0;0;-0.029;-0.029;1;0.05;1;0;0;0;0;-2.42;-2.42;0;0;0;0.011983471;0.011983471;0;0;1;0;1;0;0;0;0;0;0;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);First disclosure in the media of firms targeted by SEC enforcement action;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;58;0;1;11;AAR[+1];1;1;0;0;0;1;-0.011;-0.011;0;0;1;0;0;0;0;-0.82;-0.82;0;0;0;0.013414634;0.013414634;0;0;1;0;0;0;0;0;0;0;1;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);Disclosure of SEC investigation;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;45;0;1;11;"CAAR[-1;0]";-1;0;0;1;1;0;-0.075;-0.0375;1;0.01;1;0;0;0;0;-3.75;-3.75;0;0;0;0.02;0.01;0;0;1;0;0;1;0;0;0;1;0;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);Disclosure of SEC investigation;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;45;0;1;11;AAR[0];0;0;0;0;1;0;-0.005;-0.005;1;0.01;1;0;0;0;0;-3.28;-3.28;0;0;0;0.00152439;0.00152439;0;0;1;0;0;0;1;0;0;0;0;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);Disclosure of SEC investigation;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;45;0;1;11;AAR[-1];-1;-1;0;1;0;0;-0.025;-0.025;1;0.05;1;0;0;0;0;-2.17;-2.17;0;0;0;0.011520737;0.011520737;0;0;1;0;1;0;0;0;0;0;0;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);Disclosure of SEC investigation;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;45;0;1;11;AAR[+1];1;1;0;0;0;1;-0.014;-0.014;0;0;1;0;0;0;0;-1.48;-1.48;0;0;0;0.009459459;0.009459459;0;0;1;0;0;0;0;0;0;0;1;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);Settlements of investigations;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;33;0;1;11;AAR[-1];-1;-1;0;1;0;0;-0.003;-0.003;0;0;1;0;0;0;0;-0.31;-0.31;0;0;0;0.009677419;0.009677419;0;0;1;0;1;0;0;0;0;0;0;11;0;11;0;1
1;Feroz, Park, Pastena (1991);Feroz;EH;Park;K;Pastena;VS;0;0;3;0;The Financial and Market Effects of the SEC's Accounting and Auditing Enforcement Releases;1991;1;1;Journal of accounting research;accounting;1;0;0;0;0;1;6.23;4.34;0.277;826;36;1;US;a;1;0;0;1;0;0;1.500219;1;18285;9.813836331;2.926165412;8.098006041;9.466132799;82.82149998;54.22284199;6420;8.767173397;239.0285;3.290590605;74.90021623;1825.25125;0.409312942;4459.305;8.402748203;44.1;25.1;34.7;1982;1989;1985.5;8;Accounting and auditing enforcement releases of SEC (i.e. publication of an AAER misstatement announcement);Settlements of investigations;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;na;0;0;"[-9;+5]";-9;5;15;Daily stock returns (adjusted for dividends and stocksplits);Event study;Market model;1;1;CRSP index;0;na;0;0;224;33;0;1;11;AAR[0];0;0;0;0;1;0;-0.009;-0.009;0;0;1;0;0;0;0;-1.19;-1.19;0;0;0;0.007563025;0.007563025;0;0;1;0;0;0;1;0;0;0;0;11;0;11;0;1
